Category;Question;Option1;Option2;Option3;Option4;Correct
Test;Welches ist kein Säugetier?;Vogel;Hund;Katze;Maus;1
Test;Welches Land ist nicht in Europa?;USA;Deutschland;Frankreich;Spanien;1
Test;Welches ist keine Haupdtast?;Zürich;Paris;London;Berlin;1
Allgemeinwissen;Was ist die Hauptstadt von Frankreich?;Paris;Berlin;London;Rom;1
Allgemeinwissen;Wer hat die Relativitätstheorie entwickelt?;Albert Einstein;Isaac Newton;Galileo Galilei;Nikola Tesla;1
Allgemeinwissen;Welcher Planet ist der vierte in unserem Sonnensystem?;Mars;Jupiter;Venus;Saturn;1
Allgemeinwissen;Was ist die Hauptzutat in Sushi?;Reis;Nudeln;Kartoffeln;Fleisch;1
Allgemeinwissen;"Wer hat das Gemälde ""Die Mona Lisa"" gemalt?";Leonardo da Vinci;Vincent van Gogh;Pablo Picasso;Michelangelo;1
Allgemeinwissen;Welches ist das längste Fluss in der Welt?;Der Nil;Der Amazonas;Der Mississippi;Der Jangtsekiang;1
Allgemeinwissen;Was ist die chemische Formel für Wasser?;H2O;CO2;NaCl;O2;1
Allgemeinwissen;Welche Sprache wird in Brasilien gesprochen?;Portugiesisch;Spanisch;Englisch;Französisch;1
Allgemeinwissen;Wer hat die Schwerkraft entdeckt?;Sir Isaac Newton;Albert Einstein;Galileo Galilei;Johannes Kepler;1
Allgemeinwissen;Was ist die Hauptzutat in Schokolade?;Kakao;Erdnussbutter;Zuckerrohr;Milch;1
Allgemeinwissen;Was ist die Hauptkomponente von Luft?;Stickstoff;Sauerstoff;Kohlendioxid;Wasserstoff;1
Allgemeinwissen;"Wer schrieb ""Romeo und Julia""?";William Shakespeare;Charles Dickens;Jane Austen;Mark Twain;1
Allgemeinwissen;Welches ist das kleinste Säugetier der Welt?;Die Etruskerspitzmaus;Die Fledermaus;Das Eichhörnchen;Die Maus;1
Allgemeinwissen;Wie viele Kontinente gibt es?;7;5;6;8;1
Allgemeinwissen;Was ist die Hauptstadt von Spanien?;Madrid;Barcelona;Rom;Lissabon;1
Allgemeinwissen;Was ist die Hauptzutat in Pizza?;Teig;Tomatensauce;Käse;Salami;1
Allgemeinwissen;Wer hat die Glühbirne erfunden?;Thomas Edison;Nikola Tesla;Alexander Graham Bell;Benjamin Franklin;1
Allgemeinwissen;Welches ist das höchste Gebirge der Welt?;Der Mount Everest;Die Rocky Mountains;Die Alpen;Der Kilimandscharo;1
Allgemeinwissen;Was ist die Hauptstadt von Russland?;Moskau;Sankt Petersburg;Kiew;Berlin;1
Allgemeinwissen;Wer hat die Gravitationstheorie entwickelt?;Isaac Newton;Albert Einstein;Galileo Galilei;Johannes Kepler;1
Allgemeinwissen;Welches ist das größte Land der Welt?;Russland;Kanada;China;USA;1
Allgemeinwissen;Was ist die Hauptzutat in Bier?;Hopfen;Malz;Hefe;Wasser;1
Allgemeinwissen;"Wer hat die Computerprogrammiersprache ""Python"" erstellt?";Guido van Rossum;Linus Torvalds;Tim Berners-Lee;Mark Zuckerberg;1
Allgemeinwissen;Welches ist das schnellste Landtier?;Der Gepard;Das Pferd;Der Strauss;Das Känguru;1
Allgemeinwissen;Wer hat die Schwerkraft erforscht, indem er einen Apfel sah, der fiel?;Isaac Newton;Albert Einstein;Galileo Galilei;Johannes Kepler;1
Allgemeinwissen;Was ist die Hauptstadt von Italien?;Rom;Mailand;Florenz;Venedig;1
Allgemeinwissen;Was ist die Hauptzutat in Pasta?;Mehl;Wasser;Eier;Tomatensauce;1
Allgemeinwissen;Wer hat die Relativitätstheorie widerlegt?;Niemand, sie wurde nicht widerlegt;Albert Einstein;Isaac Newton;Galileo Galilei;1
Allgemeinwissen;Welches ist das längste Fluss in den Vereinigten Staaten?;Der Mississippi;Der Missouri;Der Colorado;Der Hudson;1
Allgemeinwissen;Was ist die Hauptzutat in einem Burger?;Rindfleisch;Brötchen;Salat;Ketchup;1
Allgemeinwissen;"Wer hat das Buch ""Die Odyssee"" geschrieben?";Homer;Plato;Aristotle;Socrates;1
Allgemeinwissen;Welches ist das größte Organ des menschlichen Körpers?;Die Haut;Das Gehirn;Die Leber;Das Herz;1
Allgemeinwissen;Was ist die Hauptzutat in Tacos?;Tortilla;Fleisch;Käse;Guacamole;1
Allgemeinwissen;Wer hat die Theorie der natürlichen Selektion vorgeschlagen?;Charles Darwin;Albert Einstein;Isaac Newton;Gregor Mendel;1
Allgemeinwissen;Welches ist das schwerste Element?;Uran;Blei;Gold;Eisen;1
Allgemeinwissen;Wer war der erste Mensch im Weltraum?;Juri Gagarin;Neil Armstrong;Buzz Aldrin;Alan Shepard;1
Allgemeinwissen;Was ist die Hauptzutat in einem Omelett?;Eier;Käse;Schinken;Pilze;1
Allgemeinwissen;Wer hat den Buchdruck mit beweglichen Lettern erfunden?;Johannes Gutenberg;Leonardo da Vinci;Isaac Newton;Galileo Galilei;1
Allgemeinwissen;Welches ist das kleinste Land der Welt?;Vatikanstadt;Monaco;San Marino;Nauru;1
Allgemeinwissen;Was ist die Hauptzutat in Lasagne?;Nudeln;Hackfleisch;Tomatensauce;Käse;1
Allgemeinwissen;Wer hat die Relativitätstheorie postuliert?;Albert Einstein;Isaac Newton;Galileo Galilei;Max Planck;1
Wahrnehmungspsychologie;Welche Theorie besagt, dass die Wahrnehmung aus der Verarbeitung von Sinneseindrücken durch das Gehirn entsteht?;Gestalttheorie;Behaviorismus;Strukturalismus;Funktionalismus;1
Wahrnehmungspsychologie;Welches Sinnesorgan ist primär für die Wahrnehmung von Farben verantwortlich?;Auge;Nase;Ohr;Haut;1
Wahrnehmungspsychologie;Welches Konzept beschreibt die Tendenz des Gehirns, fehlende Teile eines Musters automatisch zu ergänzen?;Gesetz der guten Gestalt;Closure-Prinzip;Konstanzregel;Distanz-Prinzip;1
Wahrnehmungspsychologie;Welches Prinzip besagt, dass wir dazu neigen, nahe beieinander liegende Objekte als zusammengehörig wahrzunehmen?;Nähegesetz;Ähnlichkeitsgesetz;Kontinuitätsprinzip;Geschlossenheitsprinzip;1
Wahrnehmungspsychologie;Welche Theorie der Farbwahrnehmung besagt, dass es drei Typen von Farbrezeptoren im Auge gibt?;Trichromatische Theorie;Opponent-Process-Theorie;Placebo-Theorie;Gesetz der Konstanz;1
Wahrnehmungspsychologie;Was ist ein Beispiel für ein monokulares Tiefenkennzeichnungsmerkmal?;Lineare Perspektive;Binokulare Disparität;Interposition;Bewegungsparallaxe;1
Wahrnehmungspsychologie;Welche Rolle spielt das vestibuläre System bei der Wahrnehmung?;Gleichgewichtssinn;Sehschärfe;Temperatursinn;Schmerzempfinden;1
Wahrnehmungspsychologie;Was beschreibt die Fähigkeit des visuellen Systems, Objekte unabhängig von ihrer Größe konstant wahrzunehmen?;Größenkonstanz;Helligkeitskonstanz;Formkonstanz;Farbkonstanz;1
Wahrnehmungspsychologie;Was bezeichnet das Phänomen, dass sich unsere Wahrnehmung durch Erfahrungen und Erwartungen beeinflussen lässt?;Perzeptuelle Setzung;Kontexteffekt;Illusionäre Konturen;Prägnanz;1
Wahrnehmungspsychologie;Welche Theorie besagt, dass die Wahrnehmung durch die Interpretation von Sinneseindrücken durch das Gehirn geprägt ist?;Konstruktivismus;Empirismus;Strukturalismus;Funktionalismus;1
Wahrnehmungspsychologie;Welches Konzept beschreibt die Tendenz, einzelne Elemente zu einem Ganzen zu gruppieren?;Figuren-Grund-Prinzip;Habituation;Stimulation;Dissoziation;1
Wahrnehmungspsychologie;Welche Struktur im Auge ist für die Umkehrung des Bildes auf der Netzhaut verantwortlich?;Linse;Hornhaut;Netzhaut;Glaskörper;1
Wahrnehmungspsychologie;Welche Art von Wahrnehmungstäuschung tritt auf, wenn zwei verschiedene Bilder gleichzeitig betrachtet werden?;Binokulare Fusion;Ambiguität;Figur-Grund-Beziehung;Kontinuität;1
Wahrnehmungspsychologie;Welches Phänomen beschreibt die Tendenz, Reize zu ignorieren, die sich wiederholen und keine Veränderung darstellen?;Habituation;Konditionierung;Priming;Diskrimination;1
Wahrnehmungspsychologie;Welche Art von Tiefenkennzeichnungsmerkmal wird durch den Unterschied in der Retinalbildgröße erzeugt?;Größenkonstanz;Bewegungsparallaxe;Interposition;Texturgradient;1
Wahrnehmungspsychologie;Welche Theorie besagt, dass unsere Wahrnehmung von einem ständigen Wettbewerb zwischen verschiedenen Interpretationen beeinflusst wird?;Neugierige Organisation;Selektive Wahrnehmung;Multistabile Wahrnehmung;Interpretationshierarchie;1
Wahrnehmungspsychologie;Welches Phänomen tritt auf, wenn ein einzelner Reiz zu einer Vielzahl von verschiedenen Wahrnehmungen führen kann?;Mehrdeutigkeit;Homogenität;Assoziation;Adaptation;1
Wahrnehmungspsychologie;Was ist eine häufige visuelle Illusion, bei der gleich lange Linien aufgrund ihrer Umgebung unterschiedlich lang erscheinen?;Müller-Lyer-Illusion;Ponzo-Illusion;Zollner-Illusion;Ebbinghaus-Illusion;1
Wahrnehmungspsychologie;Welche Art von Tiefenkennzeichnungsmerkmal entsteht, wenn ein Objekt ein anderes teilweise verdeckt?;Interposition;Texturgradient;Bewegungsparallaxe;Relative Höhe;1
Wahrnehmungspsychologie;Welche Theorie erklärt die Wahrnehmung von Farben basierend auf der Aktivierung von drei verschiedenen Farbrezeptoren im Auge?;Trichromatische Theorie;Konstanztheorie;Triade-Theorie;Komplementärtheorie;1
Wahrnehmungspsychologie;Was beschreibt die Neigung, bekannte Muster in zufällige Stimuli zu interpretieren?;Pareidolie;Klassische Konditionierung;Prägnanz;Anpassung;1
Wahrnehmungspsychologie;Welches Konzept beschreibt die Tendenz, nahe beieinander liegende Punkte als Linien oder Muster wahrzunehmen?;Gesetz der Nähe;Gesetz der Ähnlichkeit;Gesetz der Geschlossenheit;Gesetz der Kontinuität;1
Wahrnehmungspsychologie;Welche Art von Wahrnehmungstäuschung tritt auf, wenn die gleiche Stimulation unterschiedlich interpretiert wird?;Ambiguität;Reizdifferenzierung;Adaptation;Widerspruch;1
Wahrnehmungspsychologie;Welche Theorie besagt, dass die Wahrnehmung aufgrund der Aktivität von Rezeptoren für spezifische Farben im Auge entsteht?;Trichromatische Theorie;Opponent-Prozess-Theorie;Konstruktivismus;Gestalttheorie;1
Wahrnehmungspsychologie;Was bezeichnet die Neigung, aufgrund vorheriger Erfahrungen und Erwartungen bestimmte Informationen wahrzunehmen?;Perzeptuelle Setzung;Kognitive Dissonanz;Wahrnehmungsverzerrung;Soziale Kognition;1
Wahrnehmungspsychologie;Welches Phänomen beschreibt die Tendenz, aufgrund von Erfahrungen und Erwartungen Dinge anders wahrzunehmen als sie sind?;Wahrnehmungsverzerrung;Kontrasteffekt;Habituation;Priming;1
Wahrnehmungspsychologie;Welches Prinzip besagt, dass wir dazu neigen, zusammengehörende Elemente als Gruppe wahrzunehmen?;Gestaltgesetz der Nähe;Gesetz der Kontinuität;Prinzip der Ähnlichkeit;Prinzip der Prägnanz;1
Wahrnehmungspsychologie;Was ist ein Beispiel für ein monokulares Tiefenkennzeichnungsmerkmal?;Linearperspektive;Binokulare Disparität;Okulomotorische Tiefenkennzeichnung;Relative Bewegung;1
Wahrnehmungspsychologie;Welches Phänomen beschreibt die Neigung, aufgrund von Erwartungen und Erfahrungen Dinge zu sehen, die nicht da sind?;Pareidolie;Ambiguität;Priming;;1